Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK107189103328,HOLSTEIN FRIESIAN,Female,14/05/2019,24/02/2020,31/227/0024 Cockle Park,,9,
UK107189403331,HOLSTEIN FRIESIAN,Female,15/05/2019,09/09/2019,31/227/0024 Cockle Park,,3,
UK107189203343,HOLSTEIN FRIESIAN,Male,12/06/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,3,
UK107189303344,HOLSTEIN FRIESIAN,Female,15/06/2019,09/09/2019,31/227/0024 Cockle Park,,2,
UK107189403345,HOLSTEIN FRIESIAN,Female,24/06/2019,09/09/2019,31/227/0024 Cockle Park,,2,
UK107189603347,HOLSTEIN FRIESIAN,Female,24/06/2019,,,,21,
UK107189703348,HOLSTEIN FRIESIAN,Male,27/06/2019,,,,21,
UK107189403352,HOLSTEIN FRIESIAN,Male,06/07/2019,,,06/07/2019,0,
UK107189503353,HOLSTEIN FRIESIAN,Female,08/07/2019,,,14/07/2019,0,
UK106710402506,HOLSTEIN FRIESIAN,Female,18/01/2017,,,,51,
UK106710102517,HOLSTEIN FRIESIAN,Female,03/02/2017,,,,50,
UK106710402527,HOLSTEIN FRIESIAN,Female,18/02/2017,,,,50,
UK106710102531,HOLSTEIN FRIESIAN,Female,25/02/2017,,,,50,
UK106710702544,HOLSTEIN FRIESIAN,Female,12/03/2017,29/10/2020,Linden Foods,,44,
UK106710102545,HOLSTEIN FRIESIAN,Female,13/03/2017,,,,49,
UK106710402555,HOLSTEIN FRIESIAN,Female,02/04/2017,06/12/2019,SH2056 QUARRY COTTAGES,,32,
UK106710302582,HOLSTEIN FRIESIAN,Female,07/06/2017,30/07/2020,Linden Foods,,38,
UK106710202588,HOLSTEIN FRIESIAN,Female,19/06/2017,,,,46,
UK107189502618,HOLSTEIN FRIESIAN X,Female,10/07/2016,,,,57,
UK107189702634,HOLSTEIN FRIESIAN X,Female,20/08/2016,11/11/2020,Linden Foods,,51,
UK107189702648,HOLSTEIN FRIESIAN,Female,21/09/2016,11/11/2020,Linden Foods,,50,
UK107189102649,Swedish Red X,Female,22/09/2016,,,,55,
UK107189402652,Swedish Red X,Female,27/09/2016,,,,55,
UK107189602654,HOLSTEIN FRIESIAN,Female,02/10/2016,24/04/2020,Linden Foods,,43,
UK107189102656,HOLSTEIN FRIESIAN X,Female,08/10/2016,14/02/2020,SH2056 QUARRY COTTAGES,,40,
UK107189702662,Swedish Red X,Female,15/10/2016,24/04/2020,Linden Foods,,42,
UK107189702669,HOLSTEIN FRIESIAN,Female,22/10/2016,25/06/2020,Linden Foods,,44,
UK107189502674,Swedish Red X,Female,24/10/2016,,,,54,
UK107189702676,HOLSTEIN FRIESIAN,Female,24/10/2016,,,,54,
UK107189302679,HOLSTEIN FRIESIAN,Female,31/10/2016,,,07/09/2020,46,
UK107189402680,Swedish Red X,Female,01/11/2016,,,,54,
UK107189602682,Swedish Red X,Female,01/11/2016,,,,54,
UK107189102698,Swedish Red X,Female,22/11/2016,,,,53,
UK107189102705,HOLSTEIN FRIESIAN,Female,25/11/2016,,,,53,
UK107189502716,HOLSTEIN FRIESIAN,Female,07/12/2016,06/12/2019,SH2056 QUARRY COTTAGES,,36,
UK107189702718,HOLSTEIN FRIESIAN,Female,07/12/2016,11/11/2020,Linden Foods,,47,
UK107189702732,HOLSTEIN FRIESIAN,Female,19/12/2016,06/12/2019,SH2056 QUARRY COTTAGES,,36,
UK107189102740,HOLSTEIN FRIESIAN,Female,24/12/2016,06/12/2019,SH2056 QUARRY COTTAGES,,35,
UK107189402743,HOLSTEIN FRIESIAN,Female,06/01/2017,,,,51,
UK107189602745,HOLSTEIN FRIESIAN,Female,07/01/2017,11/11/2020,Linden Foods,,46,
UK107189402750,HOLSTEIN FRIESIAN,Female,16/01/2017,,,,51,
UK107189302791,BRITISH FRIESIAN X,Female,27/03/2017,,,,49,
UK107189202797,HOLSTEIN FRIESIAN,Female,15/04/2017,,,,48,
UK107189402799,BRITISH FRIESIAN X,Female,24/04/2017,,,,48,
UK107189602808,HOLSTEIN FRIESIAN,Female,22/05/2017,,,,47,
UK107189603354,HOLSTEIN FRIESIAN,Male,14/07/2019,,,09/08/2019,0,
UK107189703355,HOLSTEIN FRIESIAN,Male,14/07/2019,,,14/07/2019,0,
UK107189103356,HOLSTEIN FRIESIAN,Male,15/07/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,2,
UK107189203357,HOLSTEIN FRIESIAN,Female,17/07/2019,24/02/2020,31/227/0024 Cockle Park,,7,
UK107189303358,Holstein,Male,18/07/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,2,
UK107189403359,HOLSTEIN FRIESIAN,Male,24/07/2019,,,24/07/2019,0,
UK107189503360,Holstein,Male,24/07/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,2,
UK107189603361,Holstein,Female,24/07/2019,24/02/2020,31/227/0024 Cockle Park,,7,
UK107189703362,HOLSTEIN FRIESIAN,Female,24/07/2019,24/02/2020,31/227/0024 Cockle Park,,7,
UK107189103363,Holstein,Female,26/07/2019,24/02/2020,31/227/0024 Cockle Park,,7,
UK106710302603,HOLSTEIN FRIESIAN,Female,10/07/2017,18/02/2021,Linden Foods,,43,
UK107189202783,BRITISH FRIESIAN X,Female,15/03/2017,,,,49,
UK107189703376,HOLSTEIN FRIESIAN,Female,26/08/2019,18/12/2019,31/227/0024 Cockle Park,,3,
UK107189103370,HOLSTEIN FRIESIAN,Female,27/08/2019,24/02/2020,31/227/0024 Cockle Park,,6,
UK107189703369,HOLSTEIN FRIESIAN,Female,27/08/2019,24/02/2020,31/227/0024 Cockle Park,,6,
UK107189503367,HOLSTEIN FRIESIAN,Female,30/08/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189203364,HOLSTEIN FRIESIAN,Female,31/08/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189403366,HOLSTEIN FRIESIAN,Female,31/08/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189403373,HOLSTEIN FRIESIAN,Female,01/09/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189503374,HOLSTEIN FRIESIAN,Male,02/09/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,0,
UK107189603375,HOLSTEIN FRIESIAN,Female,03/09/2019,18/12/2019,31/227/0024 Cockle Park,,3,
UK107189103377,HOLSTEIN FRIESIAN,Male,26/08/2019,24/09/2019,12/062/0011 WOOD CLOSE FARM,,0,
UK107189203378,HOLSTEIN FRIESIAN,Female,21/09/2019,18/12/2019,31/227/0024 Cockle Park,,2,
UK107189403380,HOLSTEIN FRIESIAN,Female,21/09/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189503381,HOLSTEIN FRIESIAN,Female,22/09/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189603382,HOLSTEIN FRIESIAN,Female,22/09/2019,24/02/2020,31/227/0024 Cockle Park,,5,
UK107189703383,HOLSTEIN FRIESIAN,Female,23/09/2019,18/12/2019,31/227/0024 Cockle Park,,2,
UK107189103384,HOLSTEIN FRIESIAN,Female,23/09/2019,18/12/2019,31/227/0024 Cockle Park,,2,
UK107189203385,HOLSTEIN FRIESIAN,Female,23/09/2019,18/12/2019,31/227/0024 Cockle Park,,2,
UK107189203392,HOLSTEIN FRIESIAN,Female,03/10/2019,24/02/2020,31/227/0024 Cockle Park,,4,
UK107189503395,HOLSTEIN FRIESIAN,Female,08/10/2019,24/02/2020,31/227/0024 Cockle Park,,4,
UK107189403394,ABERDEEN ANGUS X,Male,08/10/2019,,,20/01/2020,3,
UK107189603396,HOLSTEIN FRIESIAN,Male,13/10/2019,,,13/10/2019,0,
UK107189703397,HOLSTEIN FRIESIAN,Female,14/10/2019,24/02/2020,31/227/0024 Cockle Park,,4,
UK107189103398,HOLSTEIN FRIESIAN,Female,14/10/2019,24/02/2020,31/227/0024 Cockle Park,,4,
UK107189203399,HOLSTEIN FRIESIAN,Female,14/10/2019,,,25/11/2019,1,
UK107189303400,HOLSTEIN FRIESIAN,Female,15/10/2019,24/02/2020,31/227/0024 Cockle Park,,4,
UK107189403408,HOLSTEIN FRIESIAN,Bull,03/11/2019,,,,17,
UK107189503409,HOLSTEIN FRIESIAN,Bull,03/11/2019,13/05/2020,31/227/0024 Cockle Park,,6,
UK107189603410,HOLSTEIN FRIESIAN,Bull,03/11/2019,,,,17,
UK107189503402,HOLSTEIN FRIESIAN,Female,03/11/2019,24/02/2020,31/227/0024 Cockle Park,,3,
UK107189603403,HOLSTEIN FRIESIAN,Female,03/11/2019,24/02/2020,31/227/0024 Cockle Park,,3,
UK107189703404,HOLSTEIN FRIESIAN,Female,03/11/2019,24/02/2020,31/227/0024 Cockle Park,,3,
UK107189203406,Swedish Red X,Female,03/11/2019,24/02/2020,31/227/0024 Cockle Park,,3,
UK107189303407,HOLSTEIN FRIESIAN,Female,03/11/2019,24/02/2020,31/227/0024 Cockle Park,,3,
UK107189103391,HOLSTEIN FRIESIAN,Male,30/09/2019,,,,18,
UK107189103412,Holstein,Female,14/11/2019,,,02/12/2019,0,
UK107189203413,HOLSTEIN FRIESIAN X,Female,14/11/2019,,,,17,
UK107189303414,HOLSTEIN FRIESIAN,Female,15/11/2019,14/05/2020,31/227/0024 Cockle Park,,6,
UK107189403415,HOLSTEIN FRIESIAN,Female,15/11/2019,,,10/12/2019,0,
UK107189103517,HOLSTEIN FRIESIAN,Female,19/11/2019,,,02/12/2019,0,
UK107189203518,HOLSTEIN FRIESIAN,Female,19/11/2019,,,28/11/2019,0,
UK107189703411,HOLSTEIN FRIESIAN,Female,28/11/2019,22/06/2020,31/227/0024 Cockle Park,,6,
UK107189403429,HOLSTEIN FRIESIAN,Female,28/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189303428,HOLSTEIN FRIESIAN,Male,28/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189503430,HOLSTEIN FRIESIAN,Female,28/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103419,HOLSTEIN FRIESIAN,Female,28/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189303421,HOLSTEIN FRIESIAN,Female,28/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189403422,HOLSTEIN FRIESIAN,Female,29/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189703432,Swedish Red X,Female,29/12/2019,14/05/2020,31/227/0024 Cockle Park,,4,
UK107189603424,HOLSTEIN FRIESIAN,Female,29/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103475,Holstein,Female,30/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189203427,HOLSTEIN FRIESIAN X,Female,30/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103426,Swedish Red X,Female,30/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189503423,HOLSTEIN FRIESIAN,Female,30/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189203434,Holstein,Female,30/12/2019,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103405,HOLSTEIN FRIESIAN,Female,01/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103461,HOLSTEIN FRIESIAN,Female,01/01/2020,,,09/03/2020,2,
UK107189103454,HOLSTEIN FRIESIAN,Female,01/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189203476,HOLSTEIN FRIESIAN,Female,01/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189103433,HOLSTEIN FRIESIAN,Female,01/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189303435,HOLSTEIN FRIESIAN,Female,01/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189603431,HOLSTEIN X,Female,01/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189203455,HOLSTEIN FRIESIAN X,Female,02/01/2020,22/06/2020,31/227/0024 Cockle Park,,5,
UK107189503458,HOLSTEIN FRIESIAN,Bull,02/01/2020,,,,15,
UK107189203462,HOLSTEIN FRIESIAN,Female,02/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189403464,HOLSTEIN FRIESIAN,Male,02/01/2020,,,,15,
UK107189603466,HOLSTEIN FRIESIAN,Female,05/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189703467,HOLSTEIN FRIESIAN,Female,05/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189103468,HOLSTEIN FRIESIAN X,Male,06/01/2020,11/11/2020,Linden Foods,,10,
UK107189203469,Swedish Red X,Female,06/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189403471,HOLSTEIN FRIESIAN,Female,07/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK107189503472,HOLSTEIN FRIESIAN,Female,07/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189603473,HOLSTEIN FRIESIAN,Female,10/01/2020,24/02/2020,31/227/0024 Cockle Park,,1,
UK107189703474,Swedish Red X,Female,12/01/2020,,,30/01/2020,0,
UK107189303477,HOLSTEIN FRIESIAN X,Female,12/01/2020,13/05/2020,31/227/0024 Cockle Park,,4,
UK 107189 203602,HOLSTEIN FRIESIAN,Male,20/01/2020,,,12/02/2020,0,
UK 107189 403604,HOLSTEIN FRIESIAN,Male,20/01/2020,,,11/02/2020,0,
UK107189403478,HOLSTEIN FRIESIAN,Female,21/01/2020,13/05/2020,31/227/0024 Cockle Park,,3,
UK107189503479,HOLSTEIN FRIESIAN,Female,24/01/2020,,,30/01/2020,0,
UK107189703481,HOLSTEIN FRIESIAN,Female,25/01/2020,,,11/02/2020,0,
UK107189603480,HOLSTEIN FRIESIAN,Female,25/01/2020,13/05/2020,31/227/0024 Cockle Park,,3,
UK 107189 703607,HOLSTEIN FRIESIAN,Male,26/01/2020,,,17/03/2020,1,
UK107189103482,HOLSTEIN FRIESIAN,Female,30/01/2020,,,09/03/2020,1,
UK107189203483,Swedish Red X,Female,07/02/2020,,,11/02/2020,0,
UK 107189 103608,HOLSTEIN FRIESIAN,Male,07/02/2020,,,26/03/2020,1,
UK107189403485,HOLSTEIN FRIESIAN,Female,07/02/2020,,,09/03/2020,1,
UK107189303484,Swedish Red X,Female,07/02/2020,13/05/2020,31/227/0024 Cockle Park,,3,
UK106710202518,HOLSTEIN FRIESIAN,Female,04/02/2017,11/02/2020,31/227/0024 Cockle Park,,36,
UK107189702809,BRITISH FRIESIAN X,Female,23/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK106710602641,HOLSTEIN FRIESIAN,Female,06/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189202867,HOLSTEIN FRIESIAN X,Female,18/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189402848,HOLSTEIN FRIESIAN X,Female,21/09/2017,11/02/2020,31/227/0024 Cockle Park,,29,
UK106710402639,HOLSTEIN FRIESIAN,Female,02/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK106710302568,Holstein,Female,05/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK107189702683,Swedish Red X,Female,03/11/2016,11/02/2020,31/227/0024 Cockle Park,,39,
UK106710602634,HOLSTEIN FRIESIAN,Female,14/09/2017,11/02/2020,31/227/0024 Cockle Park,,29,
UK107189302812,HOLSTEIN FRIESIAN X,Female,01/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK107189402841,HOLSTEIN FRIESIAN,Female,13/09/2017,11/02/2020,31/227/0024 Cockle Park,,29,
UK106710102566,Holstein,Female,24/04/2017,11/02/2020,31/227/0024 Cockle Park,,34,
UK107189602766,BRITISH FRIESIAN X,Female,12/02/2017,11/02/2020,31/227/0024 Cockle Park,,36,
UK106710302589,HOLSTEIN FRIESIAN,Female,22/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK107189602892,HOLSTEIN FRIESIAN,Female,17/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189202902,HOLSTEIN FRIESIAN,Female,24/11/2017,11/02/2020,31/227/0024 Cockle Park,,26,
UK107189502660,Swedish Red X,Female,13/10/2016,11/02/2020,31/227/0024 Cockle Park,,40,
UK106710102587,HOLSTEIN FRIESIAN,Female,16/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK106710402569,Holstein,Female,07/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK107189402771,HOLSTEIN FRIESIAN X,Female,20/02/2017,11/02/2020,31/227/0024 Cockle Park,,36,
UK107189602857,HOLSTEIN FRIESIAN,Female,04/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189502758,Swedish Red X,Female,30/01/2017,11/02/2020,31/227/0024 Cockle Park,,36,
UK107189602822,BRITISH FRIESIAN X,Female,29/07/2017,11/02/2020,31/227/0024 Cockle Park,,30,
UK107189102901,HOLSTEIN FRIESIAN,Female,23/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189302889,HOLSTEIN FRIESIAN X,Female,12/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189102873,HOLSTEIN FRIESIAN X,Female,28/10/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189102894,HOLSTEIN FRIESIAN,Female,21/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189102824,HOLSTEIN FRIESIAN X,Female,05/08/2017,11/02/2020,31/227/0024 Cockle Park,,30,
UK107189602962,HOLSTEIN FRIESIAN,Female,26/02/2018,11/02/2020,31/227/0024 Cockle Park,,23,
UK106710402562,Holstein,Female,16/04/2017,11/02/2020,31/227/0024 Cockle Park,,34,
UK106710202567,Holstein,Female,02/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK106710302554,HOLSTEIN FRIESIAN,Female,26/03/2017,11/02/2020,31/227/0024 Cockle Park,,35,
UK107189202860,Swedish Red X,Female,10/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK106710602571,Holstein,Female,12/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK107189402820,HOLSTEIN FRIESIAN,Female,23/07/2017,11/02/2020,31/227/0024 Cockle Park,,31,
UK107189702760,BRITISH FRIESIAN X,Female,06/02/2017,11/02/2020,31/227/0024 Cockle Park,,36,
UK107189302861,HOLSTEIN FRIESIAN,Female,11/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189702816,HOLSTEIN FRIESIAN,Female,18/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK107189402883,HOLSTEIN FRIESIAN,Female,07/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK106710602585,HOLSTEIN FRIESIAN,Female,16/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK107189202818,HOLSTEIN FRIESIAN,Female,22/07/2017,11/02/2020,31/227/0024 Cockle Park,,31,
UK107189402897,HOLSTEIN FRIESIAN,Female,22/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189702774,Swedish Red X,Female,02/03/2017,11/02/2020,31/227/0024 Cockle Park,,35,
UK107189602675,Swedish Red X,Female,24/10/2016,11/02/2020,31/227/0024 Cockle Park,,40,
UK106710402660,HOLSTEIN FRIESIAN,Female,15/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189202811,HOLSTEIN FRIESIAN,Female,24/05/2017,11/02/2020,31/227/0024 Cockle Park,,33,
UK107189702865,HOLSTEIN FRIESIAN,Female,15/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189202874,Swedish Red X,Female,28/10/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK107189502863,HOLSTEIN FRIESIAN X,Female,11/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189102852,BRITISH FRIESIAN X,Female,27/09/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189402855,HOLSTEIN FRIESIAN,Female,01/10/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK106710502626,HOLSTEIN FRIESIAN,Female,01/09/2017,11/02/2020,31/227/0024 Cockle Park,,29,
UK106710102615,HOLSTEIN FRIESIAN,Female,28/07/2017,11/02/2020,31/227/0024 Cockle Park,,30,
UK106710502563,HOLSTEIN FRIESIAN,Female,20/04/2017,11/02/2020,31/227/0024 Cockle Park,,34,
UK106710502542,HOLSTEIN FRIESIAN,Female,09/03/2017,11/02/2020,31/227/0024 Cockle Park,,35,
UK106710602606,HOLSTEIN FRIESIAN,Female,14/07/2017,11/02/2020,31/227/0024 Cockle Park,,31,
UK107189702851,HOLSTEIN FRIESIAN,Female,27/09/2017,11/02/2020,31/227/0024 Cockle Park,,28,
UK107189202888,HOLSTEIN FRIESIAN,Female,08/11/2017,11/02/2020,31/227/0024 Cockle Park,,27,
UK106710502605,HOLSTEIN FRIESIAN,Female,13/07/2017,11/02/2020,31/227/0024 Cockle Park,,31,
UK107189602815,HOLSTEIN FRIESIAN,Female,18/06/2017,11/02/2020,31/227/0024 Cockle Park,,32,
UK106710102566,Holstein,Female,24/04/2017,,,,48,
UK106710102587,HOLSTEIN FRIESIAN,Female,16/06/2017,,,,46,
UK106710102615,HOLSTEIN FRIESIAN,Female,28/07/2017,,,,45,
UK106710202518,HOLSTEIN FRIESIAN,Female,04/02/2017,,,,50,
UK106710302554,HOLSTEIN FRIESIAN,Female,26/03/2017,,,,49,
UK106710302568,Holstein,Female,05/05/2017,,,,47,
UK106710302589,HOLSTEIN FRIESIAN,Female,22/06/2017,,,13/03/2020,33,
UK106710402562,Holstein,Female,16/04/2017,,,,48,
UK106710402569,Holstein,Female,07/05/2017,,,,47,
UK106710402639,HOLSTEIN FRIESIAN,Female,02/10/2017,,,21/09/2020,36,
UK106710402660,HOLSTEIN FRIESIAN,Female,15/11/2017,,,,41,
UK106710502542,HOLSTEIN FRIESIAN,Female,09/03/2017,25/06/2020,Linden Foods,,40,
UK106710502563,HOLSTEIN FRIESIAN,Female,20/04/2017,,,,48,
UK106710502605,HOLSTEIN FRIESIAN,Female,13/07/2017,,,,45,
UK106710502626,HOLSTEIN FRIESIAN,Female,01/09/2017,,,,43,
UK106710602571,Holstein,Female,12/05/2017,,,,47,
UK106710602585,HOLSTEIN FRIESIAN,Female,16/06/2017,25/06/2020,Linden Foods,,36,
UK106710602634,HOLSTEIN FRIESIAN,Female,14/09/2017,,,,43,
UK106710602641,HOLSTEIN FRIESIAN,Female,06/10/2017,,,,42,
UK107189102824,HOLSTEIN FRIESIAN X,Female,05/08/2017,,,,44,
UK107189102852,BRITISH FRIESIAN X,Female,27/09/2017,11/11/2020,Linden Foods,,38,
UK107189102873,HOLSTEIN FRIESIAN X,Female,28/10/2017,,,,42,
UK107189102894,HOLSTEIN FRIESIAN,Female,21/11/2017,,,,41,
UK107189102901,HOLSTEIN FRIESIAN,Female,23/11/2017,30/07/2020,Linden Foods,,32,
UK107189202811,HOLSTEIN FRIESIAN,Female,24/05/2017,,,,47,
UK107189202818,HOLSTEIN FRIESIAN,Female,22/07/2017,,,,45,
UK107189202867,HOLSTEIN FRIESIAN X,Female,18/10/2017,,,,42,
UK107189202874,Swedish Red X,Female,28/10/2017,,,,42,
UK107189202888,HOLSTEIN FRIESIAN,Female,08/11/2017,,,,41,
UK107189202902,HOLSTEIN FRIESIAN,Female,24/11/2017,,,,41,
UK107189302812,HOLSTEIN FRIESIAN X,Female,01/06/2017,18/02/2021,Linden Foods,,45,
UK107189302861,HOLSTEIN FRIESIAN,Female,11/10/2017,,,,42,
UK107189302889,HOLSTEIN FRIESIAN X,Female,12/11/2017,,,06/04/2020,29,
UK107189402771,HOLSTEIN FRIESIAN X,Female,20/02/2017,30/07/2020,Linden Foods,,41,
UK107189402820,HOLSTEIN FRIESIAN,Female,23/07/2017,,,,45,
UK107189402841,HOLSTEIN FRIESIAN,Female,13/09/2017,,,,43,
UK107189402848,HOLSTEIN FRIESIAN X,Female,21/09/2017,,,01/05/2020,31,
UK107189402883,HOLSTEIN FRIESIAN,Female,07/11/2017,,,,41,
UK107189402897,HOLSTEIN FRIESIAN,Female,22/11/2017,18/02/2021,Linden Foods,,39,
UK107189502660,Swedish Red X,Female,13/10/2016,25/06/2020,Linden Foods,,45,
UK107189502758,Swedish Red X,Female,30/01/2017,25/06/2020,Linden Foods,,41,
UK107189502863,HOLSTEIN FRIESIAN X,Female,11/10/2017,,,,42,
UK107189602675,Swedish Red X,Female,24/10/2016,,,,54,
UK107189602766,BRITISH FRIESIAN X,Female,12/02/2017,,,,50,
UK107189602815,HOLSTEIN FRIESIAN,Female,18/06/2017,,,,46,
UK107189602822,BRITISH FRIESIAN X,Female,29/07/2017,,,,45,
UK107189602857,HOLSTEIN FRIESIAN,Female,04/10/2017,,,,42,
UK107189602892,HOLSTEIN FRIESIAN,Female,17/11/2017,,,,41,
UK107189602962,HOLSTEIN FRIESIAN,Female,26/02/2018,,,,38,
UK107189702683,Swedish Red X,Female,03/11/2016,,,,54,
UK107189702760,BRITISH FRIESIAN X,Female,06/02/2017,,,,50,
UK107189702774,Swedish Red X,Female,02/03/2017,,,,50,
UK107189702809,BRITISH FRIESIAN X,Female,23/05/2017,,,,47,
UK107189702816,HOLSTEIN FRIESIAN,Female,18/06/2017,,,,46,
UK107189702851,HOLSTEIN FRIESIAN,Female,27/09/2017,30/07/2020,Linden Foods,,34,
UK107189702865,HOLSTEIN FRIESIAN,Female,15/10/2017,,,12/10/2020,36,
UK106710202567,Holstein,Female,02/05/2017,24/04/2020,Linden Foods,,36,
UK106710602606,HOLSTEIN FRIESIAN,Female,14/07/2017,,,17/02/2020,31,
UK107189202860,Swedish Red X,Female,10/10/2017,24/04/2020,Linden Foods,,30,
UK107189402855,HOLSTEIN FRIESIAN,Female,01/10/2017,24/04/2020,Linden Foods,,31,
UK106710502759,HOLSTEIN FRIESIAN,Female,15/05/2018,,,,35,
UK107189402659,Swedish Red X,Female,12/10/2016,,,,54,
UK107189503038,Holstein,Female,27/06/2018,,,22/02/2021,32,
UK107189403058,Holstein,Female,28/07/2018,,,,32,
UK107189402736,HOLSTEIN FRIESIAN X,Female,22/12/2016,,,,52,
UK107189302910,HOLSTEIN FRIESIAN,Female,04/12/2017,,,,40,
UK107189502898,HOLSTEIN FRIESIAN,Female,22/11/2017,,,,41,
UK107189202895,HOLSTEIN FRIESIAN,Female,21/11/2017,,,,41,
UK106710302540,HOLSTEIN FRIESIAN,Female,09/03/2017,,,,49,
UK106710402667,HOLSTEIN FRIESIAN,Female,10/12/2017,,,,40,
UK107189502849,BRITISH FRIESIAN X,Female,25/09/2017,,,,43,
UK106710502521,HOLSTEIN FRIESIAN,Female,06/02/2017,,,21/05/2020,40,
UK107189503486,HOLSTEIN FRIESIAN,Female,24/02/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK 107189 403611,HOLSTEIN FRIESIAN,Male,01/03/2020,,,16/03/2020,0,
UK107189703488,HOLSTEIN FRIESIAN,Female,02/03/2020,,,13/03/2020,0,
UK107189303491,HOLSTEIN FRIESIAN,Female,02/03/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK107189603487,HOLSTEIN FRIESIAN,Female,03/03/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK 107189 203609,HOLSTEIN FRIESIAN,Male,03/03/2020,07/05/2020,,,2,
UK 107189 303610,HOLSTEIN FRIESIAN,Male,03/03/2020,,,24/03/2020,0,
UK107189103489,Swedish Red X,Female,03/03/2020,,,,13,
UK107189203490,HOLSTEIN FRIESIAN,Female,03/03/2020,13/05/2020,31/227/0024 Cockle Park,,2,
UK107189203497,HOLSTEIN FRIESIAN,Female,02/04/2020,16/02/2021,31/227/0024 Cockle Park,,10,
