Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Location,Group,Fqas,EID,Name,Age(mths),
8231,UK106710102230,HOLSTEIN FRIESIAN,Female,23/06/2015,13/07/2018,,16/07/2020,Linden Foods,,,0,,982000176144199,,61,
263,UK106710602263,HOLSTEIN FRIESIAN,Female,27/09/2015,13/07/2018,,,,,,Autumn,,982000176144201,,67,
8264,UK106710702264,HOLSTEIN FRIESIAN,Female,01/10/2015,13/07/2018,,25/06/2020,Linden Foods,,,0,,982000176144211,,57,
8266,UK106710202266,HOLSTEIN FRIESIAN,Female,08/10/2015,13/07/2018,,16/07/2020,Linden Foods,,,0,,982000176144332,,58,
8267,UK106710302267,HOLSTEIN FRIESIAN,Female,12/10/2015,13/07/2018,,,,,,Autumn,,982000176144194,,67,
8272,UK106710102272,HOLSTEIN FRIESIAN,Female,02/11/2015,13/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144222,,52,
275,UK106710402275,HOLSTEIN FRIESIAN,Female,07/11/2015,13/07/2018,,,,,,Autumn,,982000176144115,,66,
277,UK106710602277,HOLSTEIN FRIESIAN,Female,09/11/2015,13/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144091,,51,
279,UK106710702285,HOLSTEIN FRIESIAN,Female,30/11/2015,13/07/2018,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,48,
9290,UK106710502290,HOLSTEIN FRIESIAN,Female,05/12/2015,13/07/2018,,,,20/10/2020,,0,,982000176144162,,59,
8292,UK106710702292,HOLSTEIN FRIESIAN,Female,13/12/2015,13/07/2018,,18/02/2021,Linden Foods,,,0,,982000176144175,,63,
8294,UK106710202294,HOLSTEIN FRIESIAN,Female,16/12/2015,13/07/2018,,,,25/05/2020,,0,,982000176144100,,54,
299,UK106710702299,HOLSTEIN FRIESIAN,Female,24/12/2015,13/07/2018,,,,06/04/2020,,0,,982000176144170,,52,
306,UK106710702306,HOLSTEIN FRIESIAN,Female,11/01/2016,13/07/2018,,,,,,Spring,,982000176144058,,64,
8314,UK106710102314,HOLSTEIN FRIESIAN,Female,25/01/2016,13/07/2018,,,,30/04/2019,,0,,0,,39,
8315,UK106710202315,HOLSTEIN FRIESIAN,Female,26/01/2016,13/07/2018,,,,,,0,,982000176144213,,63,
15,UK106710302323,HOLSTEIN FRIESIAN,Female,07/02/2016,07/08/2018,,,,,,0,,0,,63,
327,UK107189202468,Swedish Red X,Female,04/11/2015,28/09/2018,,,,,,Spring,,982000176144040,,66,
343,UK107189302490,HOLSTEIN FRIESIAN,Female,18/11/2015,28/09/2018,,,,,,0,,982000176144317,,66,
350,UK107189602500,Swedish Red X,Female,26/11/2015,28/09/2018,,,,,,Spring,,982000176144076,,65,
8358,UK107189702515,Swedish Red X,Female,13/12/2015,28/09/2018,,,,,,Autumn,,982000176071934,,65,
281,UK107189102558,HOLSTEIN FRIESIAN,Female,23/02/2016,28/09/2018,,,,,,0,,982000176144174,,62,
557,UK107189602619,HOLSTEIN FRIESIAN,Female,18/07/2016,28/09/2018,,,,,,Autumn,,982000176144225,,57,
119,UK107189102621,HOLSTEIN FRIESIAN,Female,22/07/2016,28/09/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144217,,43,
236,UK107189202636,HOLSTEIN FRIESIAN,Female,22/08/2016,28/09/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144301,,42,
11,UK107189702641,HOLSTEIN FRIESIAN,Female,03/09/2016,28/09/2018,,,,,,0,,982000176144296,,56,
513,UK107189202566,HOLSTEIN FRIESIAN,Female,05/03/2016,29/10/2018,,,,,,0,,982000176144309,,62,
511,UK107189102628,HOLSTEIN FRIESIAN,Female,03/08/2016,29/10/2018,,,,02/12/2019,,0,,982000176144185,,40,
917,UK106710301917,HOLSTEIN FRIESIAN,Female,23/07/2013,30/10/2018,,,,,,Spring,,982000176072129,,94,
264,UK106710702348,HOLSTEIN FRIESIAN,Female,18/03/2016,30/10/2018,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,45,
328,UK107189302469,HOLSTEIN FRIESIAN,Female,05/11/2015,06/11/2018,,,,,,0,,982000176144122,,66,
505,UK107189602535,HOLSTEIN FRIESIAN,Female,17/01/2016,06/11/2018,,,,,,0,,982000176144195,,64,
512,UK107189302588,HOLSTEIN FRIESIAN,Female,29/04/2016,06/11/2018,,25/06/2020,Linden Foods,,,0,,982000176144066,,50,
500,UK107189602591,HOLSTEIN FRIESIAN,Female,05/05/2016,06/11/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,0,,46,
508,UK107189102600,HOLSTEIN FRIESIAN,Female,23/05/2016,06/11/2018,,,,,,Autumn,,982000176144196,,59,
509,UK107189202622,HOLSTEIN FRIESIAN,Female,24/07/2016,06/11/2018,,,,,,0,,0,,57,
504,UK107189602626,HOLSTEIN FRIESIAN,Female,03/08/2016,06/11/2018,,,,,,Autumn,,982000176144048,,57,
503,UK107189602633,HOLSTEIN FRIESIAN X,Female,16/08/2016,06/11/2018,,,,,,0,,982000176072148,,56,
501,UK107189402645,HOLSTEIN FRIESIAN,Female,20/09/2016,06/11/2018,,,,,,Autumn,,982000176144099,,55,
,UK107189303176,HOLSTEIN FRIESIAN,Male,01/12/2018,01/12/2018,,,,03/01/2019,,0,,0,,1,
3180,UK107189703180,HOLSTEIN FRIESIAN,Female,03/12/2018,03/12/2018,,,,10/12/2018,,0,,0,,0,
,UK107189103181,HOLSTEIN FRIESIAN,Male,04/12/2018,04/12/2018,,,,24/12/2018,,0,,0,,0,
663,UK107189203189,LIMOUSIN X,Male,25/12/2018,25/12/2018,,,,25/12/2018,,0,,0,,0,
571,UK106710602403,HOLSTEIN FRIESIAN,Female,22/06/2016,08/02/2019,,,,,,Autumn,,982000176144103,,58,
550,UK106710602431,HOLSTEIN FRIESIAN,Female,10/08/2016,08/02/2019,,,,04/12/2020,,0,,982000175466727,,52,
555,UK106710202441,HOLSTEIN FRIESIAN,Female,05/09/2016,08/02/2019,,,,,,Autumn,,982000176144124,,56,
563,UK106710302442,HOLSTEIN FRIESIAN,Female,06/09/2016,08/02/2019,,25/06/2020,Linden Foods,,,0,,982000176144101,,46,
2449,UK106710302449,HOLSTEIN FRIESIAN,Female,20/09/2016,08/02/2019,,,,25/02/2020,,0,,0,,41,
561,UK106710502451,HOLSTEIN FRIESIAN,Female,27/09/2016,08/02/2019,,,,,,Autumn,,982000176144075,,55,
564,UK106710402457,HOLSTEIN FRIESIAN,Female,24/10/2016,08/02/2019,,,,12/10/2020,,0,,982000176144052,,48,
559,UK106710102461,HOLSTEIN FRIESIAN,Female,29/10/2016,08/02/2019,,,,,,0,,982000176144186,,54,
568,UK106710202476,HOLSTEIN FRIESIAN,Female,22/11/2016,08/02/2019,,30/07/2020,Linden Foods,,,0,,982000176144121,,44,
569,UK106710302477,HOLSTEIN FRIESIAN,Female,26/11/2016,08/02/2019,,,,13/07/2020,,0,,982000176144304,,44,
2480,UK106710602480,HOLSTEIN FRIESIAN,Female,05/12/2016,08/02/2019,,,,,,0,,0,,53,
554,UK106710102482,HOLSTEIN FRIESIAN,Female,14/12/2016,08/02/2019,,,,,,Autumn,,982000176144157,,52,
572,UK106710202483,HOLSTEIN FRIESIAN,Female,16/12/2016,08/02/2019,,30/07/2020,Linden Foods,,,0,,982000176144188,,44,
558,UK106710702502,HOLSTEIN FRIESIAN,Female,16/01/2017,08/02/2019,,,,,,Spring,,982000176144116,,51,
553,UK106710202504,HOLSTEIN FRIESIAN,Female,18/01/2017,08/02/2019,,,,,,0,,982000175466800,,51,
566,UK106710302512,HOLSTEIN FRIESIAN,Female,26/01/2017,08/02/2019,,,,,,Autumn,,982000176144133,,51,
570,UK106710602522,HOLSTEIN FRIESIAN,Female,08/02/2017,08/02/2019,,16/07/2020,Linden Foods,,,0,,0,,41,
574,UK106710202539,HOLSTEIN FRIESIAN,Female,06/03/2017,08/02/2019,,,,,,Autumn,,982000176144108,,50,
336,UK107189602479,HOLSTEIN FRIESIAN,Female,09/11/2015,08/02/2019,,,,,,0,,982000176144173,,66,
560,UK107189502730,HOLSTEIN FRIESIAN,Female,16/12/2016,08/02/2019,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,35,
567,UK107189602731,HOLSTEIN FRIESIAN,Female,19/12/2016,08/02/2019,,,,,,Spring,,982000176144200,,52,
517,UK107189502751,HOLSTEIN FRIESIAN,Female,19/01/2017,08/02/2019,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,34,
525,UK107189202755,Swedish Red X,Female,26/01/2017,08/02/2019,,,,,,0,,982000176144220,,51,
694,UK107189503255,Holstein,Female,13/03/2019,13/03/2019,,,,25/03/2019,,0,,0,,0,
,UK107189403268,BRITISH BLUE X,Female,18/03/2019,18/03/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,1,
556,UK106710402366,HOLSTEIN FRIESIAN,Female,16/04/2016,20/03/2019,,29/10/2020,Linden Foods,,,0,,982000176072116,,55,
536,UK107189402701,HOLSTEIN FRIESIAN X,Female,24/11/2016,20/03/2019,,,,20/10/2020,,0,,982000176144111,,47,
698,UK107189703278,HOLSTEIN FRIESIAN,Female,24/03/2019,24/03/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,11,
699,UK107189103279,HOLSTEIN FRIESIAN,Female,24/03/2019,24/03/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,11,
,UK107189103286,ABERDEEN ANGUS X,Female,26/03/2019,26/03/2019,,07/05/2019,08 Cumbria,,,0,,0,,1,
455,UK106710202455,HOLSTEIN FRIESIAN,Female,18/10/2016,27/03/2019,,,,,,0,,982000176144078,,54,
371,UK107189102677,Swedish Red X,Female,27/10/2016,27/03/2019,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,37,
3295,UK107189303295,HOLSTEIN FRIESIAN,Female,01/04/2019,01/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
,UK107189403303,LIMOUSIN X,Male,03/04/2019,03/04/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,1,
,UK107189603284,ABERDEEN ANGUS X,Male,04/04/2019,04/04/2019,,07/05/2019,08 Cumbria,,,0,,0,,1,
,UK107189503262,BRITISH BLUE X,Male,05/04/2019,05/04/2019,,08/05/2019,08 Cumbria,,,0,,0,,1,
3301,UK107189203301,HOLSTEIN FRIESIAN,Female,05/04/2019,05/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
,UK107189303302,ABERDEEN ANGUS X,Male,05/04/2019,05/04/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,1,
,UK107189603305,ABERDEEN ANGUS X,Female,08/04/2019,08/04/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,1,
3308,UK107189203308,HOLSTEIN FRIESIAN,Female,11/04/2019,11/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
3309,UK107189303309,HOLSTEIN FRIESIAN,Female,13/04/2019,13/04/2019,,09/09/2019,31/227/0024 COCKLE PARK EXP FARM,,,0,,982000176126411,,4,
3310,UK107189403310,HOLSTEIN FRIESIAN,Female,13/04/2019,13/04/2019,,09/09/2019,31/227/0024 Cockle Park,,,0,,982000176126412,,4,
3311,UK107189503311,HOLSTEIN FRIESIAN,Female,13/04/2019,13/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
3313,UK107189703313,HOLSTEIN FRIESIAN,Female,14/04/2019,14/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
,UK107189203315,LIMOUSIN X,Male,22/04/2019,22/04/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,0,
,UK107189403317,LIMOUSIN X,Female,27/04/2019,27/04/2019,,08/05/2019,08/067/8019-01 BORDERWAY MART,,,0,,0,,0,
,UK107189503318,HOLSTEIN FRIESIAN X,Female,27/04/2019,27/04/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,10,
,UK107189103321,HOLSTEIN FRIESIAN,Female,07/05/2019,07/05/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,9,
,UK107189503325,HOLSTEIN FRIESIAN X,Female,08/05/2019,08/05/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,9,
,UK107189603326,HOLSTEIN FRIESIAN,Female,09/05/2019,09/05/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,9,
,UK107189703327,Swedish Red X,Female,09/05/2019,09/05/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,9,
,UK107189103328,HOLSTEIN FRIESIAN,Female,14/05/2019,14/05/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,9,
,UK107189403331,HOLSTEIN FRIESIAN,Female,15/05/2019,15/05/2019,,09/09/2019,31/227/0024 Cockle Park,,,0,,982000176126413,,3,
,UK107189203343,HOLSTEIN FRIESIAN,Male,12/06/2019,12/06/2019,Born in Herd,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,3,
344,UK107189303344,HOLSTEIN FRIESIAN,Female,15/06/2019,15/06/2019,,09/09/2019,31/227/0024 Cockle Park,,,0,,982000176126414,,2,
716,UK107189403345,HOLSTEIN FRIESIAN,Female,24/06/2019,24/06/2019,,09/09/2019,31/227/0024 Cockle Park,,,0,,982000176126415,,2,
,UK107189603347,HOLSTEIN FRIESIAN,Female,24/06/2019,24/06/2019,,,,,,0,,0,,22,
,UK107189703348,HOLSTEIN FRIESIAN,Male,27/06/2019,27/06/2019,,,,,,0,,0,,22,
,UK107189403352,HOLSTEIN FRIESIAN,Male,06/07/2019,06/07/2019,,,,06/07/2019,,0,,0,,0,
718,UK107189503353,HOLSTEIN FRIESIAN,Female,08/07/2019,08/07/2019,,,,14/07/2019,,0,,0,,0,
311,UK106710402506,HOLSTEIN FRIESIAN,Female,18/01/2017,12/07/2019,,,,,,Autumn,,982000176144215,,51,
5,UK106710102517,HOLSTEIN FRIESIAN,Female,03/02/2017,12/07/2019,,,,,,Autumn,,982000176144192,,51,
301,UK106710402527,HOLSTEIN FRIESIAN,Female,18/02/2017,12/07/2019,,,,,,Spring,,982000175466823,,50,
2531,UK106710102531,HOLSTEIN FRIESIAN,Female,25/02/2017,12/07/2019,,,,,,0,,982000175466827,,50,
2544,UK106710702544,HOLSTEIN FRIESIAN,Female,12/03/2017,12/07/2019,,29/10/2020,Linden Foods,,,0,,0,,44,
2545,UK106710102545,HOLSTEIN FRIESIAN,Female,13/03/2017,12/07/2019,,,,,,0,,0,,49,
2555,UK106710402555,HOLSTEIN FRIESIAN,Female,02/04/2017,12/07/2019,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,32,
315,UK106710302582,HOLSTEIN FRIESIAN,Female,07/06/2017,12/07/2019,,30/07/2020,Linden Foods,,,0,,0,,38,
38,UK106710202588,HOLSTEIN FRIESIAN,Female,19/06/2017,12/07/2019,,,,,,Autumn,,982000176144266,,46,
89,UK107189502618,HOLSTEIN FRIESIAN X,Female,10/07/2016,12/07/2019,,,,,,Autumn,,982000176144180,,58,
468,UK107189702634,HOLSTEIN FRIESIAN X,Female,20/08/2016,12/07/2019,,11/11/2020,Linden Foods,,,0,,0,,51,
510,UK107189702648,HOLSTEIN FRIESIAN,Female,21/09/2016,12/07/2019,,11/11/2020,Linden Foods,,,0,,982000176144110,,50,
102,UK107189102649,Swedish Red X,Female,22/09/2016,12/07/2019,,,,,,0,,982000176144326,,55,
157,UK107189402652,Swedish Red X,Female,27/09/2016,12/07/2019,,,,,,Autumn,,982000176144252,,55,
1171,UK107189602654,HOLSTEIN FRIESIAN,Female,02/10/2016,12/07/2019,,24/04/2020,Linden Foods,,,0,,982000176144313,,43,
1203,UK107189102656,HOLSTEIN FRIESIAN X,Female,08/10/2016,12/07/2019,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144167,,40,
253,UK107189702662,Swedish Red X,Female,15/10/2016,12/07/2019,,24/04/2020,Linden Foods,,,0,,982000176144146,,42,
280,UK107189702669,HOLSTEIN FRIESIAN,Female,22/10/2016,12/07/2019,,25/06/2020,Linden Foods,,,0,,0,,44,
1288,UK107189502674,Swedish Red X,Female,24/10/2016,12/07/2019,,,,,,0,,982000176144243,,54,
528,UK107189702676,HOLSTEIN FRIESIAN,Female,24/10/2016,12/07/2019,,,,,,Autumn,,982000176144207,,54,
386,UK107189302679,HOLSTEIN FRIESIAN,Female,31/10/2016,12/07/2019,,,,07/09/2020,,0,,0,,46,
388,UK107189402680,Swedish Red X,Female,01/11/2016,12/07/2019,,,,,,0,,982000176144311,,54,
387,UK107189602682,Swedish Red X,Female,01/11/2016,12/07/2019,,,,,,Autumn,,982000176144257,,54,
394,UK107189102698,Swedish Red X,Female,22/11/2016,12/07/2019,,,,,,Autumn,,982000176144255,,53,
397,UK107189102705,HOLSTEIN FRIESIAN,Female,25/11/2016,12/07/2019,,,,,,Autumn,,982000176144276,,53,
2716,UK107189502716,HOLSTEIN FRIESIAN,Female,07/12/2016,12/07/2019,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,36,
2718,UK107189702718,HOLSTEIN FRIESIAN,Female,07/12/2016,12/07/2019,,11/11/2020,Linden Foods,,,0,,0,,47,
195,UK107189702732,HOLSTEIN FRIESIAN,Female,19/12/2016,12/07/2019,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144169,,36,
113,UK107189102740,HOLSTEIN FRIESIAN,Female,24/12/2016,12/07/2019,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144210,,35,
155,UK107189402743,HOLSTEIN FRIESIAN,Female,06/01/2017,12/07/2019,,,,,,Spring,,982000176144244,,52,
206,UK107189602745,HOLSTEIN FRIESIAN,Female,07/01/2017,12/07/2019,,11/11/2020,Linden Foods,,,0,,982000176144232,,46,
1244,UK107189402750,HOLSTEIN FRIESIAN,Female,16/01/2017,12/07/2019,,,,,,Autumn,,982000176144141,,51,
68,UK107189302791,BRITISH FRIESIAN X,Female,27/03/2017,12/07/2019,,,,,,0,,982000176144242,,49,
83,UK107189202797,HOLSTEIN FRIESIAN,Female,15/04/2017,12/07/2019,,,,,,Spring,,982000176144166,,48,
80,UK107189402799,BRITISH FRIESIAN X,Female,24/04/2017,12/07/2019,,,,,,0,,0,,48,
529,UK107189602808,HOLSTEIN FRIESIAN,Female,22/05/2017,12/07/2019,,,,,,Autumn,,982000176144271,,47,
,UK107189603354,HOLSTEIN FRIESIAN,Male,14/07/2019,14/07/2019,,,,09/08/2019,,0,,0,,0,
,UK107189703355,HOLSTEIN FRIESIAN,Male,14/07/2019,14/07/2019,,,,14/07/2019,,0,,0,,0,
,UK107189103356,HOLSTEIN FRIESIAN,Male,15/07/2019,15/07/2019,,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,2,
719,UK107189203357,HOLSTEIN FRIESIAN,Female,17/07/2019,17/07/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,7,
,UK107189303358,Holstein,Male,18/07/2019,18/07/2019,,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,2,
,UK107189403359,HOLSTEIN FRIESIAN,Male,24/07/2019,24/07/2019,,,,24/07/2019,,0,,0,,0,
,UK107189503360,Holstein,Male,24/07/2019,24/07/2019,,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,2,
720,UK107189603361,Holstein,Female,24/07/2019,24/07/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,7,
721,UK107189703362,HOLSTEIN FRIESIAN,Female,24/07/2019,24/07/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,7,
722,UK107189103363,Holstein,Female,26/07/2019,26/07/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,7,
8,UK106710302603,HOLSTEIN FRIESIAN,Female,10/07/2017,13/08/2019,Cockle park,18/02/2021,Linden Foods,,,Autumn,,982000176308707,,43,
392,UK107189202783,BRITISH FRIESIAN X,Female,15/03/2017,13/08/2019,Cockle park,,,,,0,,982000176144330,,49,
,UK107189703376,HOLSTEIN FRIESIAN,Female,26/08/2019,26/08/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189103370,HOLSTEIN FRIESIAN,Female,27/08/2019,27/08/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,6,
,UK107189703369,HOLSTEIN FRIESIAN,Female,27/08/2019,27/08/2019,Born in Herd,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,6,
3367,UK107189503367,HOLSTEIN FRIESIAN,Female,30/08/2019,30/08/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189203364,HOLSTEIN FRIESIAN,Female,31/08/2019,31/08/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189403366,HOLSTEIN FRIESIAN,Female,31/08/2019,31/08/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189403373,HOLSTEIN FRIESIAN,Female,01/09/2019,01/09/2019,Born in Herd,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189503374,HOLSTEIN FRIESIAN,Male,02/09/2019,02/09/2019,Born in Herd,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,0,
,UK107189603375,HOLSTEIN FRIESIAN,Female,03/09/2019,03/09/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189103377,HOLSTEIN FRIESIAN,Male,26/08/2019,17/09/2019,,24/09/2019,12/062/0011 WOOD CLOSE FARM,,,0,,0,,0,
,UK107189203378,HOLSTEIN FRIESIAN,Female,21/09/2019,21/09/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,2,
,UK107189403380,HOLSTEIN FRIESIAN,Female,21/09/2019,21/09/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189503381,HOLSTEIN FRIESIAN,Female,22/09/2019,22/09/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189603382,HOLSTEIN FRIESIAN,Female,22/09/2019,22/09/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,5,
,UK107189703383,HOLSTEIN FRIESIAN,Female,23/09/2019,23/09/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,2,
,UK107189103384,HOLSTEIN FRIESIAN,Female,23/09/2019,23/09/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,2,
,UK107189203385,HOLSTEIN FRIESIAN,Female,23/09/2019,23/09/2019,,18/12/2019,31/227/0024 Cockle Park,,,0,,0,,2,
,UK107189203392,HOLSTEIN FRIESIAN,Female,03/10/2019,03/10/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189503395,HOLSTEIN FRIESIAN,Female,08/10/2019,08/10/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189403394,ABERDEEN ANGUS X,Male,08/10/2019,08/10/2019,Born in Herd,,,20/01/2020,,0,,0,,3,
,UK107189603396,HOLSTEIN FRIESIAN,Male,13/10/2019,13/10/2019,Born in Herd,,,13/10/2019,,0,,0,,0,
,UK107189703397,HOLSTEIN FRIESIAN,Female,14/10/2019,14/10/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189103398,HOLSTEIN FRIESIAN,Female,14/10/2019,14/10/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189203399,HOLSTEIN FRIESIAN,Female,14/10/2019,14/10/2019,,,,25/11/2019,,0,,0,,1,
,UK107189303400,HOLSTEIN FRIESIAN,Female,15/10/2019,15/10/2019,Born in Herd,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189403408,HOLSTEIN FRIESIAN,Bull,03/11/2019,03/11/2019,,,,,,0,,0,,17,
,UK107189503409,HOLSTEIN FRIESIAN,Bull,03/11/2019,03/11/2019,,13/05/2020,31/227/0024 Cockle Park,,,0,,0,,6,
,UK107189603410,HOLSTEIN FRIESIAN,Bull,03/11/2019,03/11/2019,,,,,,0,,0,,17,
,UK107189503402,HOLSTEIN FRIESIAN,Female,03/11/2019,03/11/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189603403,HOLSTEIN FRIESIAN,Female,03/11/2019,03/11/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189703404,HOLSTEIN FRIESIAN,Female,03/11/2019,03/11/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189203406,Swedish Red X,Female,03/11/2019,03/11/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189303407,HOLSTEIN FRIESIAN,Female,03/11/2019,03/11/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,3,
,UK107189103391,HOLSTEIN FRIESIAN,Male,30/09/2019,06/11/2019,,,,,,0,,0,,18,
,UK107189103412,Holstein,Female,14/11/2019,14/11/2019,,,,02/12/2019,,0,,0,,0,
,UK107189203413,HOLSTEIN FRIESIAN X,Female,14/11/2019,14/11/2019,,,,,,0,,0,,17,
,UK107189303414,HOLSTEIN FRIESIAN,Female,15/11/2019,15/11/2019,,14/05/2020,31/227/0024 Cockle Park,,,0,,0,,6,
,UK107189403415,HOLSTEIN FRIESIAN,Female,15/11/2019,15/11/2019,,,,10/12/2019,,0,,0,,0,
,UK107189103517,HOLSTEIN FRIESIAN,Female,19/11/2019,19/11/2019,,,,02/12/2019,,0,,0,,0,
,UK107189203518,HOLSTEIN FRIESIAN,Female,19/11/2019,19/11/2019,,,,28/11/2019,,0,,0,,0,
,UK107189703411,HOLSTEIN FRIESIAN,Female,28/11/2019,28/11/2019,,22/06/2020,31/227/0024 Cockle Park,,,0,,0,,6,
,UK107189403429,HOLSTEIN FRIESIAN,Female,28/12/2019,28/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189303428,HOLSTEIN FRIESIAN,Male,28/12/2019,28/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189503430,HOLSTEIN FRIESIAN,Female,28/12/2019,28/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189103419,HOLSTEIN FRIESIAN,Female,28/12/2019,28/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189303421,HOLSTEIN FRIESIAN,Female,28/12/2019,28/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189403422,HOLSTEIN FRIESIAN,Female,29/12/2019,29/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189703432,Swedish Red X,Female,29/12/2019,29/12/2019,,14/05/2020,31/227/0024 Cockle Park,,,0,,0,,4,
,UK107189603424,HOLSTEIN FRIESIAN,Female,29/12/2019,29/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189103475,Holstein,Female,30/12/2019,30/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,982000176157041,,1,
,UK107189203427,HOLSTEIN FRIESIAN X,Female,30/12/2019,30/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189103426,Swedish Red X,Female,30/12/2019,30/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
,UK107189503423,HOLSTEIN FRIESIAN,Female,30/12/2019,30/12/2019,,24/02/2020,31/227/0024 Cockle Park,,,0,,0,,1,
